word,frequency
applications,38
Tions,2
survives,4
supported,13
pillars,2
characters,28
treated,118
lM,3
ftt,2
hates,3
feels,32
vijnaniya,23
swarupa,2
Ksaragnikarma,2
lfc,5
ii,70
Sarvaroga,2
Jwara,74
Raktapitta,75
Shwasa,13
Madatyaya,3
Atisara,14
Mutraghata,5
Prameha,81
Vidradhi,13
Udara,13
Pandu,4
Kustha,109
Vatasonita,2
MIU,4
lf,8
fl,33
wara,2
Arso,3
ia,26
Kustharoga,2
Wl,7
kalpa,7
vyapat,2
gf,2
rt,15
Hl,14
pratisedha,24
Unmada,22
Apasmara,11
Sandhisitasita,2
Timira,7
Sarvaksiroga,2
Karnaroga,2
Nasaroga,3
Mukharoga,4
Siroroga,5
Bhanga,2
Granthi,22
slipada,7
apaci,4
Ksudraroga,2
Guhyaroga,2
Musika,3
alarka,3
ends,181
Vaidyapati,30
Simhagupta,14
explained,45
saririka,3
sparsana,4
prasna,3
individuals,12
allocated,3
humors,2
muhurta,15
inferred,18
yama,11
Arunadatta,11
minutes,20
muhurtas,4
women,117
excrements,22
Suppressing,3
Arka,22
Calotropis,8
procera,12
Nyagrodha,8
bengalensis,5
Kakubha,3
Karavira,9
Irimeda,3
Apamarga,9
Achyranthus,5
aspera,10
grandiflorum,2
inches,91
nodes,6
kafu,3
gums,13
TM,2
ff,12
Vapya,2
sunthi,10
marica,60
haritaki,2
vibhitaki,9
ela,40
powders,63
Removes,3
Produces,8
Ardita,5
Vamathu,3
vomitings,3
Asyapaka,3
siro,12
sauvirahjana,2
Eyes,6
Eyelashes,2
tejo,2
provokes,2
darvi,3
kvatha,2
aristata,12
MM,13
MII,3
navana,3
fumes,30
tambula,3
pana,12
conducted,99
TFT,6
Tt,35
anu,14
gargling,9
JJ,4
fft,4
Keeps,2
shoulders,35
dhara,4
allowed,16
ndusa,4
ropana,11
gingily,3
Gives,13
cleared,3
cracks,5
lips,28
Relieves,29
strengthens,8
Khadira,10
vrksa,2
prayogika,5
perfumes,9
garlands,21
originated,29
JT,9
ld,13
Aggravated,6
vala,29
graha,9
urahksata,2
