IAST_normalized,ASCII
asthimarma,asthimarma
asthipañjaraḥ,asthipanjarah
asthiparva,asthiparva
asthisandhayaḥ,asthisandhayah
asthisaṅghātaḥ,asthisanghaatah
asthisāram,asthisaaram
asthivahasrotas,asthivahasrotas
asthivahasrotoduṣṭiḥ,asthivahasrotodushtih
asthivahasrotoviddhaḥ,asthivahasrotoviddhah
asthivaiṣamyam,asthivaishamyam
asthivivaram,asthivivaram
asthivṛddhiḥ,asthivriddhih
asthyagni,asthyagni
asthyāśritaṃpaṭalam,asthyaashritampatalam
aśuddharaktastambhanam,ashuddharaktastambhanam
āśukārī,aashukaarii
āśukāricikitsā,aashukaaricikitsaa
āsurakāyaḥ,aasurakaayah
asvapnaḥ,asvapnah
āsyam,aasyam
āsyamalaḥ,aasyamalah
ātaṅkaḥ,aatankah
ātapaḥ,aatapah
ātapaḥ,aatapah
atidagdha_arśaḥ,atidagdha_arshah
atidagdha_gudaḥ,atidagdha_gudah
atideśaḥ,atideshah
atidurbala;_kṣutārta_ttṝṣṇārta;_śramārtānām_āsthāpanasya_vyāpadaḥ,atidurbala;_kshutaarta_ttrrishnaarta;_shramaartaanaam_aasthaapanasya_vyaapadah
atikṝśasya_āsthāpanasya_vyāpadaḥ,atikrrishasya_aasthaapanasya_vyaapadah
atimātrāhāraḥ,atimaatraahaarah
āṭīmukhaśastram,aatiimukhashastram
atipicchilaśukradoṣaḥ,atipicchilashukradoshah
atipravṛttaraktaḥ,atipravrittaraktah
atipravṛttiḥ,atipravrittih
atirukṣa_virecanavyāpat,atiruksha_virecanavyaapat
atirūkṣavraṇavarti_upayogaḥ,atiruukshavranavarti_upayogah
atisāra,atisaara
atisārapūrvarūpam,atisaarapuurvaruupam
atiśīta_aścyotanaḥ,atishiita_ashcyotanah
atisnigdha_virecanavyāpat,atisnigdha_virecanavyaapat
atisnigdhavraṇavarti_upayogaḥ,atisnigdhavranavarti_upayogah
atītāvekṣaṇam,atiitaavekshanam
ativāhika_śarīram,ativaahika_shariiram
ativṛddha_āmavātaḥ,ativriddha_aamavaatah
ativyāyāmaḥ,ativyaayaamah
atiyogabastivyāpat,atiyogabastivyaapat
ātmā,aatmaa
ātmaguṇaḥ,aatmagunah
āturanimittajaḥ,aaturanimittajah
atyantābhāvaḥ,atyantaabhaavah
atyuṣṇatīkṣṇa_āścyotanaḥ,atyushnatiikshna_aashcyotanah
audbhidajalam,audbhidajalam
audbhidalavaṇam,audbhidalavanam
audbhidam,audbhidam
audumbaraḥ,audumbarah
aupādhika,aupaadhika
aupanāsikya_sirā,aupanaasikya_siraa
aupasargikatṛṣṇā,aupasargikatrishnaa
auṣadha,aushadha
auṣadhadravyayojanam,aushadhadravyayojanam
auṣadhakālaḥ,aushadhakaalah
auṣadhakalpanā,aushadhakalpanaa
auṣadham,aushadham
auṣadham,aushadham
auṣadham_(viṣopakramaḥ),aushadham_(vishopakramah)
avabaddhaśalyam,avabaddhashalyam
avabāhukaḥ,avabaahukah
avabhāsinī,avabhaasinii
avacūrṇanam_(vraṇacikitsā),avacuurnanam_(vranacikitsaa)
avagāhaḥ_(viṣopakramaḥ),avagaahah_(vishopakramah)
avagāhasvedaḥ,avagaahasvedah
avakṣipta_sandhimuktam,avakshipta_sandhimuktam
avalambaka_kaphaḥ,avalambaka_kaphah
avamanthaḥ,avamanthah
avamyānām_vamana_vyāpadaḥ,avamyaanaam_vamana_vyaapadah
avapīḍakaḥ,avapiidakah
avapīḍanam,avapiidanam
avara,avara
āvartaḥ_(marma),aavartah_(marma)
avasādanam,avasaadanam
avasādīśukradoṣaḥ,avasaadiishukradoshah
avasecanakarma,avasecanakarma
avasthāpākaḥ,avasthaapaakah
avasthāpākaḥ,avasthaapaakah
avaṭuḥ,avatuh
avayavaḥ,avayavah
avinābhāvasaṃbandhaḥ,avinaabhaavasambandhah
avraṇaśukraḥ,avranashukrah
avyabhicāritva,avyabhicaaritva
avyāpannartukṛtarogaḥ,avyaapannartukritarogah
avyayaḥ,avyayah
avyāyāmaḥ,avyaayaamah
ayanam,ayanam
ayaskāntaḥ,ayaskaantah
āyatanam,aayatanam
ayogabastivyāpat,ayogabastivyaapat
āyuḥ,aayuh
āyurvedaḥ,aayurvedah
āyuṣyam,aayushyam
ayutasiddhatvam,ayutasiddhatvam
badarāśmaḥ,badaraashmah
baddhagudodaraḥ,baddhagudodarah
baddhodara;_chidrodara;_udakodara;_ādhmānārtānāṃ_āsthāpanasyavyāpadaḥ,baddhodara;_chidrodara;_udakodara;_aadhmaanaartaanaam_aasthaapanasyavyaapadah
bādhanam,baadhanam
bādhiryam,baadhiryam
baḍiśaśastram,badishashastram
bahalavartma,bahalavartma
bahiḥparimārjanam,bahihparimaarjanam
bahirantaścetanaḥ,bahirantashcetanah
bahirāyāmaḥ,bahiraayaamah
bahirvegajvaraḥ,bahirvegajvarah
bāhu_piṇḍikā,baahu_pindikaa
bāhuḥ,baahuh
bāhumadhyam,baahumadhyam
Bāhumarma,baahumarma
bāhumūlam,baahumuulam
Bāhunalakam,baahunalakam
bahupānam,bahupaanam
bāhupṛṣṭham,baahuprishtham
bāhusandhiḥ,baahusandhih
bāhuśiraḥ,baahushirah
bāhuśirasandhiḥ,baahushirasandhih
bāhuśīrṣaḥ,baahushiirshah
bāhyahetuḥ,baahyahetuh
bāhyajakṛmiḥ,baahyajakrimih
bāhyasnehaḥ,baahyasnehah
bāhyāyāmaḥ,baahyaayaamah
bālabheṣajamātrā,baalabheshajamaatraa
bālacikitsā,baalacikitsaa
bālacikitsā,baalacikitsaa
bālaḥ,baalah
bālaḥ,baalah
balam,balam
bālarogaḥ,baalarogah
balāsaḥ,balaasah
balāsakaḥ,balaasakah
balasamprāptiḥ,balasampraaptih
bālatantram,baalatantram
baliḥ,balih
bandhanakarma,bandhanakarma
bandhanakarma,bandhanakarma
bandhanakarma_(vraṇacikitsā),bandhanakarma_(vranacikitsaa)
bāṣpavegarodhaḥ,baashpavegarodhah
basti_abhighātaḥ,basti_abhighaatah
bastiḥ,bastih
bastikarma,bastikarma
bastikarma_(vraṇacikitsā),bastikarma_(vranacikitsaa)
